150,6,<=50K,>50
39,77516,13,2174,0,40,0
50,83311,13,0,0,13,0
38,215646,9,0,0,40,0
53,234721,7,0,0,40,0
28,338409,13,0,0,40,0
37,284582,14,0,0,40,0
49,160187,5,0,0,16,0
52,209642,9,0,0,45,1
31,45781,14,14084,0,50,1
42,159449,13,5178,0,40,1
37,280464,10,0,0,80,1
30,141297,13,0,0,40,1
23,122272,13,0,0,30,0
32,205019,12,0,0,50,0
40,121772,11,0,0,40,1
34,245487,4,0,0,45,0
25,176756,9,0,0,35,0
32,186824,9,0,0,40,0
38,28887,7,0,0,50,0
43,292175,14,0,0,45,1
40,193524,16,0,0,60,1
54,302146,9,0,0,20,0
35,76845,5,0,0,40,0
43,117037,7,0,2042,40,0
59,109015,9,0,0,40,0
56,216851,13,0,0,40,1
19,168294,9,0,0,40,0
54,180211,10,0,0,60,1
39,367260,9,0,0,80,0
49,193366,9,0,0,40,0
23,190709,12,0,0,52,0
20,266015,10,0,0,44,0
45,386940,13,0,1408,40,0
30,59951,10,0,0,40,0
22,311512,10,0,0,15,0
48,242406,7,0,0,40,0
21,197200,10,0,0,40,0
19,544091,9,0,0,25,0
31,84154,10,0,0,38,1
48,265477,12,0,0,40,0
31,507875,5,0,0,43,0
53,88506,13,0,0,40,0
24,172987,13,0,0,50,0
49,94638,9,0,0,40,0
25,289980,9,0,0,35,0
57,337895,13,0,0,40,1
53,144361,9,0,0,38,0
44,128354,14,0,0,40,0
41,101603,11,0,0,40,0
29,271466,11,0,0,43,0
25,32275,10,0,0,40,0
18,226956,9,0,0,30,0
47,51835,15,0,1902,60,1
50,251585,13,0,0,55,1
47,109832,9,0,0,60,0
43,237993,10,0,0,40,1
46,216666,3,0,0,40,0
35,56352,11,0,0,40,0
41,147372,9,0,0,48,0
30,188146,9,5013,0,40,0
30,59496,13,2407,0,40,0
32,293936,4,0,0,40,0
48,149640,9,0,0,40,0
42,116632,16,0,0,45,1
29,105598,10,0,0,58,0
36,155537,9,0,0,40,0
28,183175,10,0,0,40,0
53,169846,9,0,0,40,1
49,191681,10,0,0,50,1
25,200681,10,0,0,40,0
19,101509,10,0,0,32,0
31,309974,13,0,0,40,0
29,162298,13,0,0,70,1
23,211678,10,0,0,40,0
79,124744,10,0,0,20,0
27,213921,9,0,0,40,0
40,32214,12,0,0,40,0
67,212759,6,0,0,2,0
18,309634,7,0,0,22,0
31,125927,4,0,0,40,0
18,446839,9,0,0,30,0
52,276515,13,0,0,40,0
46,51618,9,0,0,40,0
59,159937,9,0,0,48,0
44,343591,9,14344,0,40,1
53,346253,9,0,0,35,0
49,268234,9,0,0,40,1
33,202051,14,0,0,50,0
30,54334,5,0,0,40,0
43,410867,16,0,0,50,1
57,249977,11,0,0,40,0
37,286730,10,0,0,40,0
28,212563,10,0,0,25,0
30,117747,9,0,1573,35,0
34,226296,13,0,0,40,1
29,115585,10,0,0,50,0
48,191277,16,0,1902,60,1
37,202683,10,0,0,48,1
48,171095,12,0,0,40,0
32,249409,9,0,0,40,0
76,124191,14,0,0,40,1
44,198282,13,15024,0,60,1
47,149116,14,0,0,50,0
20,188300,10,0,0,40,0
29,103432,9,0,0,40,0
32,317660,9,7688,0,40,1
17,304873,6,34095,0,32,0
30,194901,7,0,0,40,0
31,189265,9,0,0,40,0
42,124692,9,0,0,40,0
24,432376,13,0,0,40,0
38,65324,15,0,0,40,1
56,335605,9,0,1887,50,1
28,377869,10,4064,0,25,0
36,102864,9,0,0,40,0
53,95647,5,0,0,50,0
56,303090,10,0,0,50,0
49,197371,11,0,0,40,1
55,247552,10,0,0,56,0
22,102632,9,0,0,41,0
21,199915,10,0,0,40,0
40,118853,13,0,0,60,0
30,77143,13,0,0,40,0
29,267989,13,0,0,50,1
19,301606,10,0,0,35,0
47,287828,13,0,0,40,1
20,111697,10,0,1719,28,0
31,114937,12,0,0,40,1
35,129305,9,0,0,40,0
39,365739,10,0,0,40,0
28,69621,12,0,0,60,0
24,43323,9,0,1762,40,0
38,120985,9,4386,0,35,0
37,254202,13,0,0,50,0
46,146195,12,0,0,36,0
38,125933,14,0,0,40,1
43,56920,9,0,0,60,0
27,163127,11,0,0,35,0
20,34310,10,0,0,20,0
49,81973,10,0,0,40,1
61,66614,9,0,0,40,0
27,232782,10,0,0,40,0
19,316868,10,0,0,30,0
45,196584,11,0,1564,40,1
70,105376,10,0,0,40,0
31,185814,9,0,0,30,0
22,175374,10,0,0,24,0
36,108293,9,0,0,24,0
64,181232,7,0,2179,40,0
43,174662,10,0,0,40,0
